"RunId","Scenario","Metric","Key","HigherIsBetter","MaxSpreadPct","Separation","DeltaAllOffToAllOnPct","DeltaAppOffToAllOnPct","DeltaRuntimeLayerPct","DeltaAspNetLayerPct","all-off_median","all-off_min","all-off_max","all-off_n","rt-on_median","rt-on_min","rt-on_max","rt-on_n","app-off_median","app-off_min","app-off_max","app-off_n","all-on_median","all-on_min","all-on_max","all-on_n"
"r3-cloud-arm64","multiple_queries","Bad responses","http/requests/badresponses","False","0","complete 0/42",,,,,"0","0","0","6",,,,"0","0","0","0","6","0","0","0","7"
"r3-cloud-arm64","multiple_queries","App CPU (%)","benchmarks/cpu","False","4.17","9/42","0","0",,,"96","94","98","6",,,,"0","96","95","98","6","96","95","98","7"
"r3-cloud-arm64","multiple_queries","Working set (MB)","benchmarks/working-set","False","4.44","5/42","3.111","1.31",,,"225","223","233","6",,,,"0","229","224","234","6","232","229","239","7"
"r3-cloud-arm64","multiple_queries","Private memory (MB)","benchmarks/private-memory","False","14.71","18/42","0.741","-0.73",,,"337.5","330","364","6",,,,"0","342.5","325","364","6","340","327","377","7"
"r3-cloud-arm64","multiple_queries","Start time (ms)","benchmarks/start-time","False","8.88","22/42","0.386","0.193",,,"259","247","270","6",,,,"0","259.5","255","265","6","260","255","269","7"
"r3-cloud-arm64","multiple_queries","Published size (KB)","benchmarks/published-size","False","0","complete 42/42","-0.022","-0.022",,,"144025","144025","144025","6",,,,"0","144025","144025","144025","6","143994","143994","143994","7"
"r3-cloud-arm64","mvc","Requests/sec","http/rps/mean","True","18","48/49","-10.951","2.456","1.414","-14.297","118692.49","107659.77","126837.86","7","120370.99","113845.34","131549.18","7","103161.18","94540.12","113110.68","7","105694.94","95769.06","110127.52","7"
"r3-cloud-arm64","mvc","Mean latency (ms)","http/latency/mean","False","18.81","3/49","14.22","-1.19","-1.835","17.757","2.18","2.02","2.43","7","2.14","1.98","2.26","7","2.52","2.28","2.74","7","2.49","2.33","2.73","7"
"r3-cloud-arm64","mvc","Latency p50 (ms)","http/latency/50","False","16.31","complete 0/49","12.136","-0.858","-0.485","13.659","2.06","1.96","2.22","7","2.05","1.87","2.17","7","2.33","2.17","2.55","7","2.31","2.23","2.49","7"
"r3-cloud-arm64","mvc","Latency p99 (ms)","http/latency/99","False","48.99","8/49","31.993","15.891","-12.431","30.063","5.47","4.14","6.82","7","4.79","4.22","5.17","7","6.23","5.11","7.03","7","7.22","5","8.1","7"
