"Overlay","File","SizeBytes","Sha256"
"r3-x64-off","Microsoft.AspNetCore.DataProtection.dll","494592","EF08B605AB0A628CF8BA318440CC6425BF969E77347DF61F2249951A0641E38F"
"r3-x64-off","Microsoft.AspNetCore.DataProtection.Extensions.dll","25600","EAA90C2208C4568A3FE15FA93A7B216C7FCC5E37C93FF82B2A082C632842596E"
"r3-x64-off","Microsoft.AspNetCore.Diagnostics.Abstractions.dll","12288","6D7924EF7867FC2B3B18FFDE763CB591174DE4B39001E899D131993B8AFD0CD3"
"r3-x64-off","Microsoft.AspNetCore.Diagnostics.dll","447488","C05ADC1A3DBAD696A4DEA6443C1A339ED78D7F9DBABFCA942778134E534BC1DC"
"r3-x64-off","Microsoft.AspNetCore.Diagnostics.HealthChecks.dll","31232","4AA392F2A5F4C6999620EBC2EB13D455A9A218A5E59A4E80B7A0B2930F7F81C4"
"r3-x64-off","Microsoft.AspNetCore.dll","119296","15A9A1D811D095658E34F29BC45A48FD5DC576E30F026A55A7D55C1FF8924918"
"r3-x64-off","Microsoft.AspNetCore.HostFiltering.dll","32256","C77E3EA59FFE6281DB9ED3D70DE34A855455B9442100AEEB9F740B1C952350F2"
"r3-x64-off","Microsoft.AspNetCore.Hosting.Abstractions.dll","24576","8D0CB3B8B06C00DB628C8B4A52DA9A1B4BA149E1B041C084CED647C92AB4DB06"
"r3-x64-off","Microsoft.AspNetCore.Hosting.dll","466944","85365E2198157C01E904F8038048FA2DFAC0517A801468788548908D3EB4813F"
"r3-x64-off","Microsoft.AspNetCore.Hosting.Server.Abstractions.dll","8192","7E2867A5210686490AC5B6F2545C51B152C22BE391696A2C755EA973572D78CC"
"r3-x64-off","Microsoft.AspNetCore.Html.Abstractions.dll","19456","2DE5B413EAE4EE25C8D02A0F6CDB1F1799542690A09328471BB2DD0A8808B3CC"
"r3-x64-off","Microsoft.AspNetCore.Http.Abstractions.dll","315392","FAB8C90D087457DE064C6C0B1DE3038E6FD5CAA44979F6D99CD52447D44CEAE3"
"r3-x64-off","Microsoft.AspNetCore.Http.Connections.Common.dll","34816","8FC15C23D099290CB200A684109022F455BA8450E3FA7A9D0CF17A3F1DB809E3"
"r3-x64-off","Microsoft.AspNetCore.Http.Connections.dll","349184","EE02E4BFE73AFED7A45395522D3A88D1FF185CE6CD57B304DDFF2F2F49A6ABC2"
"r3-x64-off","Microsoft.AspNetCore.Http.dll","286208","28FD764D8404B7310664194A52CA84D34A39F493030752E392F26D62CDF6B3ED"
"r3-x64-off","Microsoft.AspNetCore.Http.Extensions.dll","749056","09C006C2CFC1D14922E8C1495B1F4D65E3093CC9288217DB89E4AC82F2CC965A"
"r3-x64-off","Microsoft.AspNetCore.Http.Features.dll","52736","6BEFAB20CEA08CEB7CD0F7D9129A3201F042DAF046D85293072CF55ED3FD1B56"
"r3-x64-off","Microsoft.AspNetCore.Http.Results.dll","263168","2CC473A3EFE6A32B703C0E9261D0B7AB156188F50CB0B0896CCD73852B3E66B0"
"r3-x64-off","Microsoft.AspNetCore.HttpLogging.dll","187904","2160F9E91BDC4AE58EC99B3ACCF98DC10628BD933B7FE4F91E8DEB1AB5DFCACE"
"r3-x64-off","Microsoft.AspNetCore.HttpOverrides.dll","67072","3C2AE0D0CC43F6F4C75CFF84ABD9CEFE4D73ED738C27DCC2171ED26038803CEA"
"r3-x64-off","Microsoft.AspNetCore.HttpsPolicy.dll","29184","27F6E1A0BFE22C227AD6C0CFCF28D8E0E0CB8B27F57FEDFDEE137C6A92009473"
"r3-x64-off","Microsoft.AspNetCore.Identity.dll","1018880","53F3293B00A7913CF2A64E77AD7CFF2A504933A4DFF4A5E1DCC647E80643702D"
"r3-x64-off","Microsoft.AspNetCore.Localization.dll","45568","6569CD41F60D3F357D5FA9D925DC46D7C35CB3E1652664C05032660BF852199D"
"r3-x64-off","Microsoft.AspNetCore.Localization.Routing.dll","9728","BB15CF43ABF41C7EAAE31E9A2FC9E901566FF30BE4277F86E1728DA6C9FAD1F1"
"r3-x64-off","Microsoft.AspNetCore.Metadata.dll","5632","DF93BE77F5920040464E88AE5B663BC5D673F53AF68460E71911C9770844E794"
"r3-x64-off","Microsoft.AspNetCore.Mvc.Abstractions.dll","247808","3259C92BC2DAE42A9CBF6CE7999F9CFCEC69E427D7D822B4D7EFBF4A5489E9CD"
"r3-x64-off","Microsoft.AspNetCore.Mvc.ApiExplorer.dll","136192","710A962D8C2BB54F19A675BDFD6FA8EC25C0CE4F2B7D5320339D463F65580B41"
"r3-x64-off","Microsoft.AspNetCore.Mvc.Core.dll","1929728","6C1F5FBC5FCF97ADC6B65626380A97D0CA8D3AC105C91EEE4DB98E306C4ADC82"
"r3-x64-off","Microsoft.AspNetCore.Mvc.Cors.dll","30720","6D37A9F89B1F3C9C29EE7E9C45BB7FA2798F4AA1CC8165917A51DBC40BDB80B7"
"r3-x64-off","Microsoft.AspNetCore.Mvc.DataAnnotations.dll","83968","E41A95D62CD1882F5C36996271F644ACBDED19A3D3A4ADB7DEEAEE525965DB6C"
"r3-x64-off","Microsoft.AspNetCore.Mvc.dll","20992","6BDC154B947DCA8A3609CE19E247CC3C7A0D23C91C32447064AA0333F5CBC30E"
"r3-x64-off","Microsoft.AspNetCore.Mvc.Formatters.Json.dll","5632","B52914A59367537CD2C1582197622D3C6C197EBC1C38050E835A484E268F65AB"
"r3-x64-off","Microsoft.AspNetCore.Mvc.Formatters.Xml.dll","97792","B659270399ADB24D4272221266FF2C3E839845C6FFA8995EFBE6718FF7D17AA1"
"r3-x64-off","Microsoft.AspNetCore.Mvc.Localization.dll","29696","E3E629A1DDF069286F0FD38109A541E09C728DE6BB7782CB68CDCFF020A91B6B"
"r3-x64-off","Microsoft.AspNetCore.Mvc.Razor.dll","221184","D87D5613AC8FE8A3292CF8AF464E0850AC0A1328DCE7938B2D4A08EDB20F5CC8"
"r3-x64-off","Microsoft.AspNetCore.Mvc.RazorPages.dll","433152","1ECC90387967C3436AF9ED027716611C531E399BD489228CB8B8FE8D1BC53B75"
"r3-x64-off","Microsoft.AspNetCore.Mvc.TagHelpers.dll","267264","46B59E009764CBC1485E1C518441CF98A25719D3A33BA7610E1641E9C60B46FC"
"r3-x64-off","Microsoft.AspNetCore.Mvc.ViewFeatures.dll","716800","C640648044160856BD56F259DB2454C14D9991E63196F975C2F727B3EACEC866"
"r3-x64-off","Microsoft.AspNetCore.OutputCaching.dll","240640","11F7C7C7BAA5863576FD84E04CB87E3EB94B188DFCAD33EF6B251F1400005077"
"r3-x64-off","Microsoft.AspNetCore.RateLimiting.dll","86016","D2FBDFAFBFCE39B8C95EB47C08D5E956E64E3E4E40E382BCDABCEE463742A2E2"
"r3-x64-off","Microsoft.AspNetCore.Razor.dll","48128","22D288F0BADE4F8EBD9A46252AFDD00DE561D940DB00097780F123EDB9A7A835"
"r3-x64-off","Microsoft.AspNetCore.Razor.Runtime.dll","52736","D757B8546FD8FA45E5A09508EC34D3E0D696C7B6BBD89B8FECB427FFBE6D9E80"
"r3-x64-off","Microsoft.AspNetCore.RequestDecompression.dll","31744","4DD4BEAC931B35D7E063EDDA7F21421E26BAB8284AAD065DED7210310174E3C3"
"r3-x64-off","Microsoft.AspNetCore.ResponseCaching.Abstractions.dll","6144","3846C5844FDDDC7898E0EE1200A5BA1F70506DB4313D1489485D0F2772ECF5F9"
"r3-x64-off","Microsoft.AspNetCore.ResponseCaching.dll","129024","CB3C957B57C0454B402D8419F8658D443241ADFBCD62AAB43F9343D242E96A7D"
"r3-x64-off","Microsoft.AspNetCore.ResponseCompression.dll","61440","98388878CD46B149C2B74F8B0F81FBB5F05FF9E9675566960CEA3E7461F27D79"
"r3-x64-off","Microsoft.AspNetCore.Rewrite.dll","196096","B49FD3C271888451ABF500452A883F7C2141C49A721E269E7613E14E2E9E192A"
"r3-x64-off","Microsoft.AspNetCore.Routing.Abstractions.dll","39424","EA32B7774B777318B306FD4D9B36E4FD3EA14B5B3D07888D0ABD22C309A54B54"
"r3-x64-off","Microsoft.AspNetCore.Routing.dll","863232","34BA30984F13EA8C6499284103182ADE352615D53385E2DD225D1B054B2A8290"
"r3-x64-off","Microsoft.AspNetCore.Server.HttpSys.dll","837120","E7B469F9A46989A35C4FE1C58807D2A102B751D852C4B95B8E44F573EE9524F8"
"r3-x64-off","Microsoft.AspNetCore.Server.IIS.dll","666624","71B7B041359709901A85B26CFDE4DC3631DA667CB088BC878974FAA4C067E3AE"
"r3-x64-off","Microsoft.AspNetCore.Server.IISIntegration.dll","32256","7F92B69CB0F52685488D4D5F46756937BAC51960267325067F4C52D9753EFF32"
"r3-x64-off","Microsoft.AspNetCore.Server.Kestrel.Core.dll","2378752","E6A2FCDF7B487F809570F123A55480DF422A957AFADB2E689BF209E97989CABF"
"r3-x64-off","Microsoft.AspNetCore.Server.Kestrel.dll","14848","EB67524083656A43975F58803DA1226F5D4C2A25E123CCE4833C1E082BA87D8E"
"r3-x64-off","Microsoft.AspNetCore.Server.Kestrel.Transport.NamedPipes.dll","139264","9F319D23EB0E56463F5A53CBFB9E080DDA90D90C02CFB608A0C18E855625E078"
"r3-x64-off","Microsoft.AspNetCore.Server.Kestrel.Transport.Quic.dll","228864","F6FCEA3A7865B291EAFCBD9F56BFCDCCAE8447707308662F6DF820094E5CB4F4"
"r3-x64-off","Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.dll","117760","282CE436CE93BF8DB7627B3A688C19B002A33D63E437F8FA3930E5CDA8020344"
"r3-x64-off","Microsoft.AspNetCore.Session.dll","68096","76D27790A78EDAAD94A2B06C1000AA1B07A7E500415577BF6C7DC3D8A5F2267A"
"r3-x64-off","Microsoft.AspNetCore.SignalR.Common.dll","66048","BB8A056D20528831EA5D84DDEA271DF404BCE60EB2580110131920008AD9F50B"
"r3-x64-off","Microsoft.AspNetCore.SignalR.Core.dll","542208","1BCF98A2E3904984822145578BD36220889CE172FDD018AB64BF3EEE8621EC4D"
"r3-x64-off","Microsoft.AspNetCore.SignalR.dll","16384","B1090F59A34C9BEA8CA94ECA5439C3620DD01393D224974C685CAEA712A83E72"
"r3-x64-off","Microsoft.AspNetCore.SignalR.Protocols.Json.dll","60928","F64639D62D59921E82630E2E5E110D34733DF3713BECDA1BE9813BB606AEBB05"
"r3-x64-off","Microsoft.AspNetCore.StaticAssets.dll","182784","F3F7A5AB72326738B5D4C8B4F1CEB87729B08FDFEB40602D4CA6ECF7C4190D75"
"r3-x64-off","Microsoft.AspNetCore.StaticFiles.dll","142848","94923F83AA0023DC30E32276191BA137D31BA5D1F283898222D1A28E885F81D9"
"r3-x64-off","Microsoft.AspNetCore.WebSockets.dll","56832","873363F34D8B3A4D73A752048C9A0B71B9654457DF298EE3ED024C94DD579466"
"r3-x64-off","Microsoft.AspNetCore.WebUtilities.dll","237568","5690D349DED81BE38D6A28FA0B1E8288E0F94641D1AEB3C2422209479BEBE32A"
"r3-x64-off","Microsoft.CSharp.dll","301056","6197DD9AD2BEBF1FF185743E986F4FE448F32E406E3E013F9C5FFE8FF0FB0996"
"r3-x64-off","Microsoft.CSharp.xml","18050","B712D12C5DE74926122A368DC92329AB3215555E44BCB46F2DAEF146EC0986AC"
